id,type,units,value,relation,molecule_id,target_id
13327441,IC90,nM,5.5,=,1563326,11291
13327505,IC50,nM,1.0,=,1563326,11291
15233015,IC50,nM,13.0,=,312994,11291
15233012,IC50,nM,58.0,=,312994,11291
15232961,IC50,nM,59.0,=,312994,11291
15233018,IC50,nM,6.9,=,312994,11291
6321257,IC50,nM,4.6,=,312994,11291
13291714,IC50,nM,3.8,=,312994,11291
14540874,IC50,nM,2.3,=,312994,11291
2247698,IC50,nM,2187.0,=,312994,11291
2247699,IC50,nM,47.0,=,312994,11291
2247701,IC50,nM,11.0,=,312994,11291
6162624,IC50,nM,4.0,=,312994,11291
13823874,IC50,nM,165.96,=,312994,11291
12052031,IC50,nM,4.6,=,312994,11291
2381526,IC50,nM,4.6,=,312994,11291
12651119,IC50,nM,4.0,=,312994,11291
12085085,IC50,nM,4.6,=,312994,11291
6261709,IC50,nM,40.0,=,312994,11291
10941485,IC50,nM,90.0,=,312994,11291
2247700,IC50,nM,16.0,=,312994,11291
16580671,IC50,nM,260.0,=,312994,11291
16580740,Inhibition,%,98.0,=,312994,11291
16581139,IC50,nM,0.24,=,312994,11291
14548719,Ratio IC50,-,365.0,=,312994,11291
14548726,IC50,nM,3.0,=,312994,11291
13925225,IC50,nM,15.0,=,312994,11291
2706779,IC50,nM,109.0,=,312994,11291
13824036,IC50,nM,170.0,=,312994,11291
2706387,IC50,nM,78.0,=,312994,11291
18492876,IC50,nM,23.0,=,312994,11291
18449229,Ratio,/M/s,1590.0,=,312994,11291
18449232,IC50,nM,986.0,=,312994,11291
18449235,IC50,nM,109.0,=,312994,11291
3218648,Inhibition,%,8.34,=,408410,11291
5152540,Ratio,/M/s,40300.0,=,1063958,11291
5153622,IC50,nM,7.2,=,1063958,11291
20752461,IC50,nM,50.4,,1063958,11291
20752462,IC50,nM,32.4,,1063958,11291
20752463,IC50,nM,10.7,,1063958,11291
20752464,IC50,nM,7.4,,1063958,11291
20752465,IC50,%,0.0,,1063958,11291
19116558,IC50,nM,1.8,=,1063958,11291
3218669,Inhibition,%,-2.32,=,252174,11291
3218622,Inhibition,%,16.49,=,63952,11291
3218646,Inhibition,%,8.4,=,418485,11291
3218608,Inhibition,%,25.41,=,15738,11291
2381448,Ki,nM,6000.0,=,4361,11291
3218695,Inhibition,%,-15.74,=,431002,11291
3218656,Inhibition,%,5.24,=,611591,11291
3218652,Inhibition,%,6.03,=,23745,11291
3218662,Inhibition,%,3.53,=,611679,11291
3218684,Inhibition,%,-12.0,=,28331,11291
3218677,Inhibition,%,-5.75,=,26820,11291
3218634,Inhibition,%,13.55,=,196215,11291
3218637,Inhibition,%,12.54,=,139286,11291
15176624,Inhibition,%,11.0,=,110803,11291
3218687,Inhibition,%,-12.89,=,224263,11291
3218697,Inhibition,%,-17.9,=,39857,11291
3218643,Inhibition,%,10.78,=,921,11291
3218629,Inhibition,%,14.58,=,230249,11291
3218638,Inhibition,%,12.37,=,9277,11291
3218617,Inhibition,%,18.85,=,9277,11291
2381529,IC50,nM,30000.0,>,66028,11291
6321260,IC50,nM,30000.0,>,66028,11291
3218668,Inhibition,%,-1.68,=,317124,11291
2941572,IC50,nM,363078.05,=,94571,11291
1493654,IC50,nM,52000.0,=,11819,11291
3218660,Inhibition,%,3.7,=,10813,11291
3218653,Inhibition,%,5.7,=,26280,11291
3218633,Inhibition,%,13.75,=,26401,11291
3218674,Inhibition,%,-5.07,=,33664,11291
3218680,Inhibition,%,-9.69,=,27616,11291
2583433,IC50,nM,100000.0,>,293438,11291
3218606,Inhibition,%,26.92,=,418736,11291
3218655,Inhibition,%,5.48,=,21938,11291
3218611,Inhibition,%,21.07,=,244737,11291
3218670,Inhibition,%,-3.2,=,315123,11291
3218675,Inhibition,%,-5.33,=,99389,11291
3218612,Inhibition,%,20.5,=,27609,11291
3218651,Inhibition,%,7.43,=,140117,11291
3218658,Inhibition,%,4.81,=,3599,11291
3218694,Inhibition,%,-15.37,=,19573,11291
3218615,Inhibition,%,19.86,=,598447,11291
3218636,Inhibition,%,12.7,=,675239,11291
3218631,Inhibition,%,14.19,=,5028,11291
3218630,Inhibition,%,14.29,=,152751,11291
3218595,Inhibition,%,35.0,=,612198,11291
3218664,Inhibition,%,3.36,=,214701,11291
3218690,Inhibition,%,-13.75,=,79557,11291
3218676,Inhibition,%,-5.67,=,93895,11291
378011,Relative potency,-,1.0,=,8910,11297
932770,Inhibition,%,25.0,<=,39540,11318
925999,Inhibition,%,25.0,<=,6480,11318
18676435,IC50,nM,320.0,=,94571,10978
