id,name,max_phase,structure,inchi_key
1563326,MK-3168,1,CN(C)C(=O)[C@H]1C[C@@H]1c1ccc(-c2ncn(C)c2Sc2ccc(Cl)cn2)cc1,WRBFPGYDKJBYBI-SJORKVTESA-N
312994,URB-597,1,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,ROFVXGGUISEHAM-UHFFFAOYSA-N
408410,FENOBAM,1,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,DWPQODZAOSWNHB-UHFFFAOYSA-N
1063958,PF-04457845,2,O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,BATCTBJIJJEPHM-UHFFFAOYSA-N
252174,ETAZOLATE,2,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C,OPQRBXUBWHDHPQ-UHFFFAOYSA-N
63952,OXFENDAZOLE,2,COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,BEZZFPOZAYTVHN-UHFFFAOYSA-N
418485,FLUPIRTINE,2,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,JUUFBMODXQKSTD-UHFFFAOYSA-N
15738,LAPACHONE,2,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,QZPQTZZNNJUOLS-UHFFFAOYSA-N
4361,OLEIC ACID,2,CCCCCCCC/C=C\CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N
431002,NEFIRACETAM,2,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,NGHTXZCKLWZPGK-UHFFFAOYSA-N
611591,TOLPERISONE,3,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,FSKFPVLPFLJRQB-UHFFFAOYSA-N
23745,IBUDILAST,3,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,ZJVFLBOZORBYFE-UHFFFAOYSA-N
611679,METAXALONE,4,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,IMWZZHHPURKASS-UHFFFAOYSA-N
28331,FENOFIBRATE,4,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,YMTINGFKWWXKFG-UHFFFAOYSA-N
26820,ANTIPYRINE,4,Cc1cc(=O)n(-c2ccccc2)n1C,VEQOALNAAJBPNY-UHFFFAOYSA-N
196215,ZOLMITRIPTAN,4,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,ULSDMUVEXKOYBU-ZDUSSCGKSA-N
139286,GLIPIZIDE,4,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,ZJJXGWJIGJFDTL-UHFFFAOYSA-N
110803,LORATADINE,4,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,JCCNYMKQOSZNPW-UHFFFAOYSA-N
224263,ZOPICLONE,4,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,GBBSUAFBMRNDJC-UHFFFAOYSA-N
39857,ZONISAMIDE,4,N=S(=O)(O)Cc1noc2ccccc12,UBQNRHZMVUUOMG-UHFFFAOYSA-N
921,PHENYTOIN,4,O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,CXOFVDLJLONNDW-UHFFFAOYSA-N
230249,CARISOPRODOL,4,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,OFZCIYFFPZCNJE-UHFFFAOYSA-N
9277,PHYSOSTIGMINE,4,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,PIJVFDBKTWXHHD-HIFRSBDPSA-N
66028,CARBARIL,4,CNC(=O)Oc1cccc2ccccc12,CVXBEEMKQHEXEN-UHFFFAOYSA-N
317124,MODAFINIL,4,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,YFGHCGITMMYXAQ-UHFFFAOYSA-N
94571,DISULFIRAM,4,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N
11819,PROPOFOL,4,CC(C)c1cccc(C(C)C)c1O,OLBCVFGFOZPWHH-UHFFFAOYSA-N
10813,SERTINDOLE,4,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,GZKLJWGUPQBVJQ-UHFFFAOYSA-N
26280,LINEZOLID,4,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,TYZROVQLWOKYKF-ZDUSSCGKSA-N
26401,TRAZODONE,4,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,PHLBKPHSAVXXEF-UHFFFAOYSA-N
33664,ZIPRASIDONE,4,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,MVWVFYHBGMAFLY-UHFFFAOYSA-N
27616,REMOXIPRIDE,4,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,GUJRSXAPGDDABA-NSHDSACASA-N
293438,ORLISTAT,4,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,AHLBNYSZXLDEJQ-FWEHEUNISA-N
418736,IDEBENONE,4,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,JGPMMRGNQUBGND-UHFFFAOYSA-N
21938,METERGOLINE,4,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,WZHJKEUHNJHDLS-QTGUNEKASA-N
244737,GLAFENINE,4,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,GWOFUCIGLDBNKM-UHFFFAOYSA-N
315123,CHLORZOXAZONE,4,O=c1[nH]c2cc(Cl)ccc2o1,TZFWDZFKRBELIQ-UHFFFAOYSA-N
99389,MEPROBAMATE,4,CCCC(C)(COC(N)=O)COC(N)=O,NPPQSCRMBWNHMW-UHFFFAOYSA-N
27609,CLONIDINE,4,Clc1cccc(Cl)c1N=C1NCCN1,GJSURZIOUXUGAL-UHFFFAOYSA-N
140117,TIZANIDINE,4,Clc1ccc2nsnc2c1NC1=NCCN1,XFYDIVBRZNQMJC-UHFFFAOYSA-N
3599,BUSPIRONE,4,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,QWCRAEMEVRGPNT-UHFFFAOYSA-N
19573,DELAVIRDINE,4,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,WHBIGIKBNXZKFE-UHFFFAOYSA-N
598447,CAPECITABINE,4,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,GAGWJHPBXLXJQN-UORFTKCHSA-N
675239,DANTROLENE,4,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,OZOMQRBLCMDCEG-VIZOYTHASA-N
5028,THALIDOMIDE,4,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,UEJJHQNACJXSKW-UHFFFAOYSA-N
152751,DROPERIDOL,4,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,RMEDXOLNCUSCGS-UHFFFAOYSA-N
612198,TRICLOCARBAN,4,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,ICUTUKXCWQYESQ-UHFFFAOYSA-N
214701,CINOXACIN,4,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,VDUWPHTZYNWKRN-UHFFFAOYSA-N
79557,NEOSTIGMINE BROMIDE,4,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],LULNWZDBKTWDGK-UHFFFAOYSA-M
93895,LEFLUNOMIDE,4,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,VHOGYURTWQBHIL-UHFFFAOYSA-N
8910,HISTAMINE,4,NCCc1c[nH]cn1,NTYJJOPFIAHURM-UHFFFAOYSA-N
39540,NEDOCROMIL,4,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,RQTOOFIXOKYGAN-UHFFFAOYSA-N
6480,CROMOLYN SODIUM,4,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],VLARUOGDXDTHEH-UHFFFAOYSA-L
430410,SU-9516,1,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,QNUKRWAIZMBVCU-WCIBSUBMSA-N
1757318,PF-04418948,1,COc1ccc2cc(OCC3(C(=O)O)CN(C(=O)c4ccc(F)cc4)C3)ccc2c1,LWJGMYMNSNVCEM-UHFFFAOYSA-N
568339,AST-487,1,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,ODPGGGTTYSGTGO-UHFFFAOYSA-N
